barcode,name,calories,protein,fat,carbs,brand,weight
4820179683592,"Міні-галети Trapeza рисові з чіа і кіноа 70г",373,9.2,2.7,71,"Trapeza","70"
4820179683646,"Галети Trapeza рисові з сочевицею 130г",314,15.6,1.3,60.4,"Trapeza","130"
5900334020147,"Напій Tymbark Вівсяно-горіховий без глютену 500мл",0,0,0,0,"Tymbark",""
5900334020178,"Напій Tymbark Вівсяно-кокосовий без глютену 500мл",0,0,0,0,"Tymbark",""
5900334020123,"Напій Tymbark Вівсяний 500мл",0,0,0,0,"Tymbark",""
4820253110068,"Сосиски Vega's Класичні веганські 300г",113,11,6.2,3.3,"Vega's","300"
4820255081397,"Соус Yagodar Домашній гострий 200г",58.1,0.9,0.1,13.5,"Yagodar","200"
4820255081267,"Джем Yagodar Ожина-чорниця 210г",79.2,0.3,0.1,19.6,"Yagodar","210"
4820255081236,"Джем Yagodar М'ята-ожина 210г",77.6,0.3,0.1,19.2,"Yagodar","210"
4820255080062,"Джем Yagodar червона смородина-зелена груша 210г",127,0.6,0.2,34,"Yagodar","210"
4820255081724,"Джем Yagodar Персик-ананас 210г",80.8,0.4,0.1,20,"Yagodar","210"
4820255080192,"Джем Yagodar Полуниця 210г",243.7,0.7,0.3,59.3,"Yagodar","210"
4820255081243,"Джем Yagodar Манго-малина 210г",75.9,0.3,0.1,18.8,"Yagodar","210"
4820255081410,"Соус Yagodar Пряна чорна смородина без цукру 205г",109.8,0.8,0.2,26.2,"Yagodar","205"
4820255080208,"Джем Yagodar Чорна смородина 210г",247.6,1.2,0.3,60,"Yagodar","210"
4820255081427,"Соус Yagodar Манго-медова гірчиця 200г",89.5,1,0.7,20.7,"Yagodar","200"
0810165011953,"Льодяники YumEarth з вітаміном С органічні Полуниця вишня малина 87г",349,0,0,90,"YumEarth","87"
4820103344360,"Молоко згущене Ічня безлактозне 8% 370г",321,7.1,8,55,"Ічня","370"
